Category,Num_order,Revenue
bed_bath_table,9272,1692714.28
health_beauty,8646,1620684.04
computers_accessories,6529,1549252.47
furniture_decor,6307,1394466.93
watches_gifts,5493,1387046.31
sports_leisure,7529,1349252.93
housewares,5743,1069787.97
auto,3809,833610.84
garden_tools,3448,810614.93
cool_stuff,3559,744649.32
